2025-02-20 10:33:00,706 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-20 10:33:51,436 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-24 08:44:36,924 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-26 13:32:11,293 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-26 13:32:54,311 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:33:35,113 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:40:43,012 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:41:12,169 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-26 13:41:43,628 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-26 13:42:17,355 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:42:45,983 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:45:43,777 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:47:02,338 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:47:34,642 - evaluate - INFO - Evaluate Model: MAE: 4021.9982956243234, MSE: 36597251.52302047, R2: 0.7937448434631807 


2025-02-26 13:49:10,804 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:50:01,690 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-26 13:52:29,672 - evaluate - INFO - Evaluate Model: MAE: 1471.9986522211268, MSE: 7571839.598609969, R2: 0.9573265505826135 


2025-02-26 13:53:47,145 - evaluate - INFO - Evaluate Model: MAE: 1131.4260570132585, MSE: 5874283.049989785, R2: 0.9668936567748782 


2025-02-26 13:54:33,761 - evaluate - INFO - Evaluate Model: MAE: 1163.9436738489314, MSE: 6063136.9951278595, R2: 0.9658293118201062 


2025-02-26 13:55:32,130 - evaluate - INFO - Evaluate Model: MAE: 1151.234068651587, MSE: 5852840.479794763, R2: 0.9670145030266615 


